y1_y1,y1_y2,y2_y1,y2_y2
3349.0876848981857,-561.0458213744289,-561.0458213744289,1786.1553193563134
2109.074694328364,-287.49635930039557,-287.49635930039557,1906.3926174846686
2546.2689181661567,-457.61088916381317,-457.61088916381317,1636.1871828594633
3010.4935280904533,-501.65160825094125,-501.65160825094125,2458.3060103247
2557.395156876886,176.9709919574017,176.9709919574017,2344.7228572394038
1715.6519515635414,33.77322408470227,33.77322408470227,1430.158550902918
1615.8022878718562,-20.697655955665407,-20.697655955665407,939.1842320618009
1488.296883667728,113.02206881465786,113.02206881465786,1381.1872959914147
1107.157068934395,-73.02396155101145,-73.02396155101145,757.0580606546464
1377.2520841214553,176.89842361401605,176.89842361401605,1723.0554621335116
2039.0969809069998,-593.3041788435951,-593.3041788435951,1553.55153921303
1720.0456702828649,-392.0209529544826,-392.0209529544826,2129.817709113018
1545.1983949517787,96.3420863684509,96.3420863684509,2144.0047053580483
1811.4619804872923,162.68899813560887,162.68899813560887,2232.064170039624
1281.5396266342686,366.32463699944515,366.32463699944515,1927.2169338098947
1554.9884943441766,-617.5949876735677,-617.5949876735677,4456.966116486209
2205.8329608937456,83.13060419189681,83.13060419189681,3512.9408132365083
1596.875634762353,-191.74087207738782,-191.74087207738782,2063.1567857150308
1731.4547901917626,-115.3231788418766,-115.3231788418766,2273.581660878211
1285.3656213681347,-88.25788367532778,-88.25788367532778,2797.4172694060153
1433.2775537030916,243.84430333375894,243.84430333375894,2088.585010523817
1206.5953034691,-337.65936578727127,-337.65936578727127,650.3502612987651
2190.339221213778,57.5311372028756,57.5311372028756,1646.9506343199241
2464.8177449764166,17.622441446527834,17.622441446527834,1486.2873436761486
2320.8826856040464,-235.252839834817,-235.252839834817,1102.6281899892374
1760.0910433520319,-145.05444596752903,-145.05444596752903,986.2870860646647
961.9097563402813,5.518182604438523,5.518182604438523,2119.7702916212593
820.4883240906906,31.521113374629383,31.521113374629383,1859.4772284659023
339.73369908972467,67.1870990938178,67.1870990938178,1436.519449926895
305.31268779964785,68.01448546600797,68.01448546600797,1242.269198936288
386.06669724547396,-247.14515429109116,-247.14515429109116,1514.0687733190525
1064.0149422985414,-460.8638727962625,-460.8638727962625,1714.0039046102713
1617.6183717226909,-1321.6517185818961,-1321.6517185818961,2431.4670867966634
1065.2550962612604,-1134.8807776472559,-1134.8807776472559,3298.6731311634007
1548.6616760732866,-1180.8153195316327,-1180.8153195316327,3968.0731022289606
1128.435801523953,-657.7102536079823,-657.7102536079823,1626.827438365458
2440.6707695821924,-1662.74060454522,-1662.74060454522,3183.484250960617
3241.78138551229,-1018.0803107438294,-1018.0803107438294,2615.331222192248
2989.5214731167266,-1267.0421231612033,-1267.0421231612033,3660.058413209561
