Trait,Marker_ID,Estimate,SD,Model_Frequency
y1,1,-9.8680675e-6,9.0993366e-5,1.0
y1,2,-0.31257114,0.51520354,1.0
y1,3,-1.1216477,0.6873335,1.0
y1,4,-0.17869562,0.58753306,1.0
y1,5,-0.87334204,0.73516124,1.0
y1,6,0.095341146,0.6093766,1.0
y1,7,-0.69375044,0.62293833,1.0
y1,8,-0.7094853,0.6011098,1.0
y1,9,0.55368865,0.6050718,1.0
y1,10,0.25797334,0.59093624,1.0
y1,11,-0.048905913,0.5874594,1.0
y1,12,0.18996616,0.5624535,1.0
y1,13,0.48701334,0.6596642,1.0
y1,14,-0.41430533,0.651372,1.0
y1,15,-1.3546346,0.6785995,1.0
y1,16,-0.41590187,0.65035975,1.0
y1,17,0.43382105,0.6074643,1.0
y1,18,-0.26031163,0.5626169,1.0
y1,19,-0.26900625,0.56526184,1.0
y1,20,0.9314248,0.7292365,1.0
y2,1,4.365797e-6,0.00010900587,1.0
y2,2,0.65427625,0.7744889,1.0
y2,3,-0.18752807,0.6802945,1.0
y2,4,0.27634716,0.6975021,1.0
y2,5,0.7968283,0.6982275,1.0
y2,6,-0.75445795,0.7931991,1.0
y2,7,0.9468757,0.742957,1.0
y2,8,0.18619518,0.651089,1.0
y2,9,0.9535548,0.8264071,1.0
y2,10,-0.7334395,0.71913075,1.0
y2,11,0.16917789,0.70688164,1.0
y2,12,0.035639204,0.69422674,1.0
y2,13,-0.9548818,0.8160023,1.0
y2,14,-1.0951127,0.80501854,1.0
y2,15,-0.12023703,0.7758391,1.0
y2,16,1.3320122,0.9477266,1.0
y2,17,-1.1591657,0.8472699,1.0
y2,18,0.5842226,0.75243276,1.0
y2,19,-0.17275144,0.73994565,1.0
y2,20,-0.697895,0.8063333,1.0
